#HOT-1000 raw data (C) Hitachi High-Technologies Corporation. 2001-2016. All rights reserved 
#Raw data export format
#Ver 2.00
#
#Bluetooth Address,78:61:7C:34:25:8F
#
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark
2017/11/24 15:39:00.628, 202.2, -0.3920189873653791, 1.2489296291775855, 73.33225629494846, -0.047058279679334625, 0.2632835694794955, 0.1006779391223942, 0.6920594661145842, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:00.721, 202.3, -0.3921356426879022, 1.2387832210564451, 73.37747958494282, 0.03424432467956695, 0.4171418628132635, 0.15822858819033758, 0.7478221258669593, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:00.816, 202.4, -0.39250103861201474, 1.2267883374343589, 73.4216249893176, 0.058590081848620024, 0.46480132094006166, 0.1830973877308404, 0.7979164710039606, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:00.928, 202.5, -0.3926942999890454, 1.2101795670593025, 73.46577039369237, 0.058590081848620024, 0.4507366140569893, 0.14996639958489055, 0.7759384136387699, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:01.022, 202.6, -0.3933856995020632, 1.1911952179637941, 73.50991579806714, 0.04640238538142771, 0.42272533631363984, 0.11158901819319311, 0.738485054992982, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:01.116, 202.7, -0.39457467625691306, 1.1715574946135916, 73.54347439058468, 0.01908820516315135, 0.3893176396462268, 0.08979061854414194, 0.7198630595380702, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:01.234, 202.8, -0.3959418375858778, 1.1509472450604596, 73.56680504622321, -0.00506643118517669, 0.34786948850678634, 0.06538048055759971, 0.6736092606773147, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:01.322, 202.9, -0.3974447811985461, 1.1303523958864259, 73.58907578100249, -0.041080992655466275, 0.2931344044120152, 0.033017908029512544, 0.6217003975024649, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:01.415, 203.0, -0.39931130283487304, 1.109655662616133, 73.61028659492254, -0.04407052936635125, 0.2741178099049475, 0.014236023857134406, 0.6065350840869006, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:01.528, 203.1, -0.4004009587162638, 1.0885484761920172, 73.63077839820123, 0.028176362769773533, 0.40599358617691816, 0.03839714469682809, 0.6399596995963202, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:01.622, 203.2, -0.4009360521962233, 1.065191857136516, 73.65127020147992, 0.058590081848620024, 0.47043830011660326, 0.08707248855059113, 0.6460609816224667, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:01.717, 203.3, -0.4015970805502471, 1.0396612882870317, 73.6717620047586, 0.052492520117313646, 0.47043830011660326, 0.12526143579117832, 0.6247389876901797, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:01.830, 203.4, -0.4021060869709586, 1.0135698934195305, 73.6922538080373, 0.0372810693826926, 0.4479284140393345, 0.10340347748369627, 0.6095644692144089, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:01.922, 203.5, -0.40289982508171707, 0.9866471345002836, 73.71274561131598, 0.013038597649584815, 0.41156461739393535, 0.1006779391223942, 0.6004818145824191, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:02.017, 203.6, -0.40401995401280705, 0.9596326189091471, 73.73184698077931, -0.03808966740920017, 0.3313859570943274, 0.06808684056954739, 0.540348798753421, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:02.129, 203.7, -0.40527326938600555, 0.9328500764354437, 73.74070244860332, -0.0857374371620736, 0.22286297747970085, -0.0416899919614826, 0.42220981206694086, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:02.223, 203.8, -0.4062509230123447, 0.906264501002494, 73.73995265623812, -0.10644140049222983, 0.1747856839824915, -0.09699737706299105, 0.3325342813429164, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:02.317, 203.9, -0.4074868146306894, 0.8798837187654691, 73.73765631268209, -0.050044245728066095, 0.2795437464113819, -0.08388433519080563, 0.3728338662284174, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:02.431, 204.0, -0.40813911681397025, 0.8520694773108505, 73.73430004826682, -0.0020534753844536624, 0.3837713273747978, -0.049628601726539934, 0.4309740562040125, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:02.522, 204.1, -0.40886133947260317, 0.8229892319507878, 73.71573066313636, 0.006996300841742631, 0.3976486607349772, -0.03108553411579429, 0.45442075802094317, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:02.618, 204.2, -0.4096640214168025, 0.7954189720470981, 73.6971612780059, -0.0020534753844536624, 0.3837713273747978, -0.03639057440126692, 0.46913097751640853, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:02.747, 204.3, -0.4107684139733319, 0.7692101566971205, 73.69380501359062, -0.017100131338001034, 0.35062203468145015, -0.04433759594180087, 0.49868189095769866, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:02.824, 204.4, -0.41235774436764483, 0.7449920636630326, 73.69271431100755, -0.03509655148623558, 0.3094921071150889, -0.06283167250908805, 0.4897982641019447, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:02.918, 204.5, -0.4146417300476468, 0.7221238017905611, 73.69162360842446, -0.05899145956798968, 0.2659899294914432, -0.08650969623825944, 0.43975368971533735, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:03.033, 204.6, -0.41759050960038346, 0.7012216043008841, 73.68947298498215, -0.06792269147531016, 0.24977369906084412, -0.09961586363763031, 0.4134609034480028, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:03.122, 204.7, -0.4199552712964589, 0.6826608527114606, 73.67135944845946, -0.00506643118517669, 0.37269712572703373, -0.057554627164370764, 0.4927577196485404, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:03.235, 204.8, -0.42145546928942157, 0.6646666036417196, 73.63812761375705, 0.028176362769773533, 0.44231674117194064, -0.015136557275293505, 0.5643152916148195, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:03.330, 204.9, -0.4224913904019155, 0.6478894321299333, 73.60355258030744, 0.031209423220682986, 0.4535463921584668, 0.011558647621807694, 0.6095644692144089, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:03.420, 205.0, -0.4235940493175123, 0.6320780024926592, 73.5679537455108, 0.025145141094636614, 0.4367113594189451, 0.016914834529301537, 0.6217003975024649, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:03.515, 205.1, -0.4246967082331091, 0.6168198386069221, 73.53235491071419, 0.016062486462646852, 0.4087783258757467, 0.014236023857134406, 0.5944358646317247, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:03.630, 205.2, -0.4261178833837234, 0.603362801735334, 73.49747508655892, -0.00506643118517669, 0.36164739747301944, 0.03570680295852746, 0.6156287513404552, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:03.723, 205.3, -0.42753905853433777, 0.5911848061953788, 73.46091439282449, -0.056010833548276295, 0.2768300421385268, -0.06019384601688671, 0.4456153550994544, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:03.816, 205.4, -0.42873841653836514, 0.5811531238230787, 73.42369663085792, -0.05899145956798968, 0.3094921071150889, -0.10484872649098564, 0.3728338662284174, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:03.930, 205.5, -0.4292030561212735, 0.5750789121561851, 73.38525697250816, 0.01908820516315135, 0.4619852127270665, -0.02843090172001439, 0.4868405591946394, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:04.023, 205.6, -0.4285052309458017, 0.5724172525178038, 73.3468173141584, 0.052492520117313646, 0.49871891849829186, 0.014236023857134406, 0.5553143890940802, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:04.116, 205.7, -0.4272456598580152, 0.5702055289828055, 73.30698722199328, 0.06164165350269446, 0.5129194392620313, 0.030330458354493217, 0.6247389876901797, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:04.230, 205.8, -0.42569736931296764, 0.5689431640809179, 73.26926657428488, 0.05554037147654789, 0.49588364765395987, 0.024959888557805066, 0.6736092606773147, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:04.323, 205.9, -0.42387264947474, 0.567721823324163, 73.23260584743572, 0.049446525505900674, 0.4789057026482686, 0.027644452380685358, 0.738485054992982, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:04.416, 206.0, -0.4219214044153542, 0.5665576958862198, 73.19628603080444, 0.028176362769773533, 0.4255194129440474, 0.019595081176167373, 0.7571766655460181, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:04.534, 206.1, -0.4203848477512214, 0.5661303425747289, 73.15996621417317, 0.01908820516315135, 0.3948701110663624, 0.024959888557805066, 0.8136744418156847, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:04.623, 206.2, -0.41867562665857444, 0.5667500769999434, 73.12364639754189, 0.09533243947257919, 0.538582455394633, 0.09251022698758504, 0.9350861579507046, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:04.717, 206.3, -0.41669712448624685, 0.5704062003891041, 73.0885484772938, 0.16340279774718702, 0.6396543346990171, 0.2528335251350935, 1.2109952985869197, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:04.828, 206.4, -0.4146419880825752, 0.5759711971470449, 73.05711062828087, 0.18525734393666848, 0.6659778818995568, 0.40107699474574243, 1.4633263440703268, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:04.922, 206.5, -0.41257260979685595, 0.5830552074209575, 73.04284363896849, 0.19151908551899766, 0.6747832848210455, 0.4417512457771213, 1.5393872095766876, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:05.016, 206.6, -0.41038355348567296, 0.591965871726821, 73.04208743812156, 0.17900343442840505, 0.6513365830041149, 0.4798187795864379, 1.6240414216357206, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:05.134, 206.7, -0.4077639433992084, 0.6036815410405747, 73.04170933769807, 0.14785068567522508, 0.6076681831603423, 0.5033898309000708, 1.6950706535056441, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:05.223, 206.8, -0.4054199950596032, 0.6188614669529326, 73.04245913006326, 0.09533243947257919, 0.5186109595123334, 0.45928486982317107, 1.7101536212027733, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:05.316, 206.9, -0.4033362689433514, 0.6376281458719011, 73.04441456340142, 0.11380536688938747, 0.5414420494102385, 0.3751029103602219, 1.6092156138865463, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:05.429, 207.0, -0.400714781557512, 0.6588186117864161, 73.04636999673956, 0.1946528994730432, 0.6865479961311802, 0.46221312759354394, 1.8247499283833108, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:05.543, 207.1, -0.3978463228429278, 0.6817261562797723, 73.06387946101079, 0.22925511369591245, 0.7547376091918085, 0.5389560745226687, 1.9897295453873212, 0, 0, 0, 0, 0, 1
2017/11/24 15:39:05.616, 207.2, -0.3948229214925929, 0.7051692601742763, 73.081388925282, 0.22609954401086352, 0.75772357524054, 0.4915904153946151, 1.894789984163864, 0, 0, 0, 0, 0, 1
